ID,balance_to_date,pay_model,account_number_fk,employeeID
"104","414.15","monthly","104","182"
"105","0.00","annually","105","45"
"106","297.79","quarterly","106","184"
"107","216.36","quarterly","107","167"
"108","721.31","quarterly","108","0"
"109","283.69","bi-anually","109","97"
"110","243.52","monthly","110","195"
"111","2.00","annually","111","0"
"112","1119.71","monthly","112","121"
"113","1611.10","annually","113","175"
"114","1188.54","annually","114","158"
"115","721.54","bi-anually","115","36"
"116","420.76","monthly","116","70"
"117","372.10","bi-anually","117","0"
"118","1797.02","monthly","118","195"
"119","44.00","annually","119","151"
"120","391.60","annually","120","84"
"121","716.44","quarterly","121","178"
"122","0.00","bi-anually","122","94"
"123","1187.80","bi-anually","123","0"
"124","465.36","bi-anually","124","168"
"125","218.62","monthly","125","143"
"126","1061.25","annually","126","0"
"127","237.51","monthly","127","0"
"128","642.46","annually","128","0"
"129","724.07","monthly","129","77"
"130","854.35","quarterly","130","99"
"131","36.16","quarterly","131","50"
"132","39.04","monthly","132","189"
"133","816.50","bi-anually","133","59"
"134","360.50","bi-anually","134","0"
"135","754.18","annually","135","98"
"136","247.75","bi-anually","136","137"
"137","21.76","bi-anually","137","0"
"138","869.40","annually","138","165"
"139","7.08","bi-anually","139","167"
"140","232.14","bi-anually","140","71"
"141","148.24","bi-anually","141","0"
"142","313.76","quarterly","142","0"
"143","334.26","quarterly","143","92"
"144","819.65","bi-anually","144","86"
"145","413.70","quarterly","145","23"
"146","326.88","quarterly","146","0"
"147","388.36","quarterly","147","135"
"148","283.42","quarterly","148","152"
"149","42.67","monthly","149","81"
"150","372.52","annually","150","0"
"151","0.00","bi-anually","151","200"
"152","1108.28","annually","152","48"
"153","93.40","bi-anually","153","0"
"154","14.00","quarterly","154","0"
"155","76.52","monthly","155","104"
"156","497.20","monthly","156","181"
"157","616.45","monthly","157","30"
"158","47.12","monthly","158","177"
"159","783.26","quarterly","159","173"
"160","84.88","annually","160","10"
"161","2238.41","bi-anually","161","26"
"162","45.70","annually","162","153"
"163","294.15","monthly","163","55"
"164","481.64","quarterly","164","190"
"165","0.00","bi-anually","165","90"
"166","249.00","quarterly","166","173"
"167","104.84","quarterly","167","182"
"168","678.80","bi-anually","168","17"
"169","475.34","monthly","169","27"
"170","272.33","monthly","170","91"
"171","367.71","annually","171","163"
"172","37.68","quarterly","172","0"
"173","458.74","quarterly","173","159"
"174","11.20","quarterly","174","50"
"175","1276.36","quarterly","175","0"
"176","421.00","annually","176","0"
"177","523.56","quarterly","177","55"
"178","2583.69","annually","178","70"
"179","744.90","monthly","179","31"
"180","43.74","quarterly","180","0"
"181","1637.34","bi-anually","181","100"
"182","1020.80","annually","182","187"
"183","1339.70","monthly","183","135"
"184","0.00","annually","184","56"
"185","289.60","quarterly","185","78"
"186","84.80","quarterly","186","20"
"187","60.12","bi-anually","187","88"
"188","780.80","monthly","188","164"
"189","4.00","annually","189","0"
"190","16.72","monthly","190","0"
"191","1198.90","monthly","191","154"
"192","24.00","annually","192","26"
"193","417.06","bi-anually","193","43"
"194","567.70","monthly","194","87"
"195","161.60","monthly","195","0"
"196","0.00","quarterly","196","0"
"197","75.80","annually","197","0"
"198","40.54","quarterly","198","111"
"199","662.92","quarterly","199","0"
"200","1800.24","annually","200","149"
"201","321.52","bi-anually","201","71"
"202","87.72","annually","202","181"
"203","712.89","annually","203","143"
"204","428.32","quarterly","204","2"
"205","38.00","annually","205","0"
"206","608.28","monthly","206","158"
"207","119.11","annually","207","0"
"208","0.00","quarterly","208","4"
"209","679.88","bi-anually","209","95"
"210","1322.86","monthly","210","79"
"211","513.60","annually","211","113"
"212","129.05","bi-anually","212","190"
"213","248.03","monthly","213","0"
"214","155.44","annually","214","0"
"215","0.00","quarterly","215","0"
"216","407.28","quarterly","216","28"
"217","656.08","bi-anually","217","135"
"218","28.62","annually","218","34"
"219","481.40","bi-anually","219","185"
"220","1172.84","monthly","220","0"
"221","783.84","monthly","221","110"
"222","249.84","bi-anually","222","0"
"223","955.26","monthly","223","39"
"224","1310.60","monthly","224","8"
"225","26.00","monthly","225","0"
"226","72.00","quarterly","226","0"
"227","187.51","annually","227","118"
"228","585.56","quarterly","228","25"
"229","0.00","bi-anually","229","0"
"230","497.56","annually","230","0"
"231","203.84","annually","231","0"
"232","26.00","monthly","232","123"
"233","40.06","bi-anually","233","89"
"234","1081.84","annually","234","51"
"235","191.20","bi-anually","235","0"
"236","1342.08","quarterly","236","172"
"237","213.05","monthly","237","0"
"238","354.13","annually","238","105"
"239","1213.07","quarterly","239","0"
"240","80.51","bi-anually","240","33"
"241","214.72","quarterly","241","0"
"242","49.74","monthly","242","15"
"243","95.65","annually","243","90"
"244","1169.28","annually","244","101"
"245","470.28","quarterly","245","0"
"246","380.86","bi-anually","246","0"
"247","504.78","bi-anually","247","21"
"248","114.60","quarterly","248","158"
"249","63.14","bi-anually","249","0"
"250","515.56","bi-anually","250","0"
"251","184.08","annually","251","0"
"252","230.56","monthly","252","5"
"253","473.75","bi-anually","253","0"
"254","329.14","bi-anually","254","71"
"255","507.32","annually","255","146"
"256","29.36","quarterly","256","28"
"257","815.20","quarterly","257","0"
"258","73.12","bi-anually","258","0"
"259","519.79","annually","259","82"
"260","1919.16","annually","260","180"
"261","1870.93","annually","261","0"
"262","252.76","bi-anually","262","23"
"263","306.16","monthly","263","31"
"264","306.62","monthly","264","0"
"265","58.48","quarterly","265","0"
"266","130.25","monthly","266","100"
"267","431.70","bi-anually","267","115"
"268","427.60","bi-anually","268","148"
"269","370.96","monthly","269","165"
"270","319.40","monthly","270","12"
"271","1214.14","monthly","271","0"
"272","62.00","quarterly","272","0"
"273","152.59","bi-anually","273","0"
"274","51.44","bi-anually","274","143"
"275","1249.54","monthly","275","27"
"276","502.56","annually","276","104"
"277","66.17","annually","277","22"
"278","531.45","quarterly","278","139"
"279","399.64","quarterly","279","107"
"280","176.80","monthly","280","0"
"281","185.33","monthly","281","7"
"282","1251.24","monthly","282","63"
"283","709.80","bi-anually","283","78"
"284","686.20","bi-anually","284","0"
"285","672.41","quarterly","285","72"
"286","425.60","quarterly","286","67"
"287","167.32","annually","287","146"
"288","584.10","monthly","288","183"
"289","1095.88","monthly","289","173"
"290","273.64","bi-anually","290","165"
"291","1279.98","annually","291","12"
"292","458.63","quarterly","292","43"
"293","923.82","bi-anually","293","24"
"294","693.37","quarterly","294","69"
"295","80.00","quarterly","295","80"
"296","122.00","annually","296","90"
"297","62.73","annually","297","200"
"298","707.49","annually","298","34"
"299","170.76","bi-anually","299","3"
"300","379.36","bi-anually","300","120"
"301","686.40","monthly","301","0"
"302","220.04","bi-anually","302","0"
"303","296.88","annually","303","36"
"304","4.00","annually","304","140"
"305","1780.75","quarterly","305","45"
"306","990.97","bi-anually","306","86"
"307","1242.68","quarterly","307","0"
"308","6.00","annually","308","77"
"309","0.00","bi-anually","309","119"
"310","1380.94","bi-anually","310","170"
"311","177.10","quarterly","311","63"
"312","0.00","annually","312","77"
"313","547.50","quarterly","313","87"
"314","17.19","annually","314","110"
"315","352.08","bi-anually","315","0"
"316","1046.60","annually","316","89"
"317","696.09","annually","317","32"
"318","404.33","bi-anually","318","98"
"319","226.56","annually","319","0"
"320","1797.80","annually","320","81"
"321","225.10","monthly","321","166"
"322","388.28","quarterly","322","127"
"323","1150.40","monthly","323","180"
"324","417.52","bi-anually","324","4"
"325","103.21","monthly","325","0"
"326","535.91","monthly","326","122"
"327","102.00","quarterly","327","8"
"328","313.41","bi-anually","328","0"
"329","703.42","bi-anually","329","107"
"330","887.43","monthly","330","1"
"331","202.32","monthly","331","0"
"332","98.89","annually","332","0"
"333","38.00","bi-anually","333","8"
"334","871.79","monthly","334","73"
"335","1640.24","quarterly","335","0"
"336","142.64","monthly","336","137"
"337","227.84","annually","337","0"
"338","447.68","annually","338","0"
"339","885.89","annually","339","15"
"340","13.52","bi-anually","340","0"
"341","0.00","annually","341","178"
"342","409.40","annually","342","0"
"343","197.35","monthly","343","38"
"344","100.00","quarterly","344","0"
"345","0.00","quarterly","345","0"
"346","551.73","annually","346","0"
"347","148.20","annually","347","113"
"348","40.00","bi-anually","348","117"
"349","354.50","monthly","349","0"
"350","236.72","bi-anually","350","28"
"351","804.82","annually","351","196"
"352","157.61","quarterly","352","188"
"353","43.16","quarterly","353","194"
"354","664.96","bi-anually","354","17"
"355","235.22","annually","355","14"
"356","111.45","monthly","356","195"
"357","266.52","annually","357","7"
"358","236.76","monthly","358","83"
"359","359.55","monthly","359","33"
"360","562.30","bi-anually","360","33"
"361","73.33","bi-anually","361","5"
"362","0.00","bi-anually","362","193"
"363","1385.12","bi-anually","363","0"
"364","555.46","quarterly","364","68"
"365","244.81","monthly","365","101"
"366","826.42","bi-anually","366","188"
"367","652.40","annually","367","87"
"368","670.20","monthly","368","4"
"369","370.20","quarterly","369","60"
"370","535.44","annually","370","0"
"371","732.49","quarterly","371","85"
"372","180.24","monthly","372","0"
"373","1051.47","quarterly","373","87"
"374","207.36","bi-anually","374","158"
"375","383.54","annually","375","0"
"376","112.72","quarterly","376","160"
"377","17.92","bi-anually","377","17"
"378","390.27","bi-anually","378","0"
"379","82.96","monthly","379","0"
"380","1109.22","quarterly","380","0"
"381","55.60","monthly","381","0"
"382","824.85","monthly","382","62"
"383","571.63","annually","383","59"
"384","570.72","monthly","384","0"
"385","148.40","annually","385","0"
"386","286.24","bi-anually","386","159"
"387","1179.19","bi-anually","387","0"
"388","220.51","monthly","388","110"
"389","59.00","quarterly","389","110"
"390","691.27","monthly","390","55"
"391","655.85","monthly","391","56"
"392","497.24","monthly","392","162"
"393","17.00","monthly","393","95"
"394","636.49","monthly","394","192"
"395","1010.92","annually","395","0"
"396","401.27","annually","396","0"
"397","165.41","monthly","397","0"
"398","159.99","bi-anually","398","68"
"399","36.24","bi-anually","399","19"
"400","0.00","quarterly","400","0"
"401","477.16","bi-anually","401","128"
"402","1878.00","quarterly","402","193"
"403","658.28","annually","403","46"
"404","691.10","annually","404","87"
"405","38.00","quarterly","405","178"
"406","78.33","bi-anually","406","0"
"407","867.80","quarterly","407","134"
"408","365.07","quarterly","408","133"
"409","553.95","annually","409","36"
"410","210.22","annually","410","120"
"411","298.07","annually","411","85"
"412","1375.15","bi-anually","412","0"
"413","131.30","monthly","413","93"
"414","420.02","monthly","414","36"
"415","204.21","quarterly","415","26"
"416","25.96","bi-anually","416","0"
"417","148.24","monthly","417","100"
"418","412.94","annually","418","167"
"419","297.30","annually","419","180"
"420","218.52","bi-anually","420","0"
"421","1757.20","bi-anually","421","176"
"422","604.00","quarterly","422","0"
"423","495.27","annually","423","3"
"424","63.00","bi-anually","424","0"
"425","32.56","bi-anually","425","102"
"426","0.00","monthly","426","0"
"427","66.46","monthly","427","0"
"428","251.26","monthly","428","0"
"429","1075.01","monthly","429","123"
"430","1322.89","bi-anually","430","155"
"431","102.43","quarterly","431","0"
"432","422.76","bi-anually","432","30"
"433","131.80","annually","433","27"
"434","867.40","monthly","434","0"
"435","347.92","monthly","435","6"
"436","28.28","annually","436","87"
"437","461.26","bi-anually","437","0"
"438","736.22","quarterly","438","182"
"439","63.88","monthly","439","0"
"440","884.12","quarterly","440","45"
"441","194.63","quarterly","441","0"
"442","47.41","bi-anually","442","50"
"443","414.18","annually","443","19"
"444","0.00","bi-anually","444","0"
"445","43.99","monthly","445","122"
"446","444.84","monthly","446","0"
"447","852.89","quarterly","447","147"
"448","209.30","annually","448","46"
"449","744.56","monthly","449","0"
"450","317.80","annually","450","165"
"451","17.44","annually","451","148"
"452","22.00","quarterly","452","17"
"453","196.30","annually","453","125"
"454","62.00","quarterly","454","65"
"455","205.14","quarterly","455","47"
"456","516.12","quarterly","456","32"
"457","125.00","annually","457","137"
"458","281.04","quarterly","458","117"
"459","611.50","annually","459","26"
"460","504.40","bi-anually","460","0"
"461","18.42","quarterly","461","73"
"462","781.24","quarterly","462","124"
"463","573.40","bi-anually","463","127"
"464","9.12","quarterly","464","145"
"465","40.00","quarterly","465","197"
"466","161.55","monthly","466","0"
"467","437.40","bi-anually","467","132"
"468","1449.07","monthly","468","127"
"469","571.56","monthly","469","0"
"470","380.56","monthly","470","145"
"471","232.05","quarterly","471","0"
"472","300.64","monthly","472","64"
"473","127.73","monthly","473","42"
"474","0.00","monthly","474","0"
"475","374.48","quarterly","475","191"
"476","26.00","annually","476","105"
"477","425.19","monthly","477","0"
"478","1152.09","bi-anually","478","0"
"479","96.00","quarterly","479","166"
"480","389.34","bi-anually","480","0"
"481","444.43","quarterly","481","0"
"482","0.00","annually","482","136"
"483","13.36","quarterly","483","95"
"484","71.32","bi-anually","484","53"
"485","162.70","monthly","485","0"
"486","206.51","quarterly","486","194"
"487","1220.10","bi-anually","487","105"
"488","190.96","bi-anually","488","140"
"489","537.20","annually","489","146"
"490","222.25","quarterly","490","0"
"491","146.90","annually","491","57"
"492","678.40","bi-anually","492","0"
"493","85.17","monthly","493","34"
"494","714.02","bi-anually","494","89"
"495","956.52","monthly","495","38"
"496","0.00","annually","496","30"
"497","83.04","annually","497","38"
"498","50.25","quarterly","498","97"
"499","30.00","bi-anually","499","167"
"500","829.21","annually","500","0"
"501","59.49","bi-anually","501","82"
"502","482.92","monthly","502","108"
"503","716.51","bi-anually","503","183"
"504","32.57","bi-anually","504","124"
"505","998.60","annually","505","148"
"506","599.53","quarterly","506","0"
"507","1034.30","monthly","507","125"
"508","481.90","annually","508","107"
"509","539.26","quarterly","509","161"
"510","237.60","quarterly","510","0"
"511","34.04","annually","511","0"
"512","246.08","bi-anually","512","51"
"513","851.03","quarterly","513","0"
"514","122.01","monthly","514","172"
"515","530.99","annually","515","26"
"516","46.45","quarterly","516","195"
"517","651.10","monthly","517","99"
"518","382.76","annually","518","98"
"519","338.40","annually","519","174"
"520","1434.27","bi-anually","520","72"
"521","0.00","bi-anually","521","83"
"522","226.15","bi-anually","522","0"
"523","907.83","quarterly","523","0"
"524","1003.36","bi-anually","524","121"
"525","451.60","bi-anually","525","0"
"526","44.88","bi-anually","526","149"
"527","52.42","monthly","527","18"
"528","112.72","monthly","528","159"
"529","78.00","quarterly","529","0"
"530","980.28","annually","530","75"
"531","1699.08","monthly","531","44"
"532","196.80","monthly","532","185"
"533","2354.46","quarterly","533","112"
"534","296.88","monthly","534","0"
"535","332.08","quarterly","535","187"
"536","164.00","bi-anually","536","32"
"537","249.80","monthly","537","7"
"538","1427.00","monthly","538","147"
"539","52.32","bi-anually","539","0"
"540","121.40","quarterly","540","0"
"541","1642.18","bi-anually","541","12"
"542","484.80","bi-anually","542","0"
"543","855.64","monthly","543","69"
"544","639.80","bi-anually","544","35"
"545","1418.14","quarterly","545","119"
"546","37.68","quarterly","546","181"
"547","2040.70","annually","547","0"
"548","0.00","monthly","548","168"
"549","82.00","bi-anually","549","0"
"550","536.76","monthly","550","138"
"551","0.00","quarterly","551","194"
"552","562.32","monthly","552","187"
"553","690.20","monthly","553","0"
"554","344.60","annually","554","193"
"555","1269.00","monthly","555","0"
"556","92.08","annually","556","96"
"557","14.00","bi-anually","557","39"
"558","197.42","monthly","558","33"
"559","1030.30","monthly","559","112"
"560","113.20","bi-anually","560","0"
"561","4.00","quarterly","561","35"
"562","24.00","monthly","562","0"
"563","108.00","annually","563","0"
"564","177.52","bi-anually","564","164"
"565","1645.52","annually","565","181"
"566","77.32","annually","566","34"
"567","1180.40","quarterly","567","0"
"568","1759.90","monthly","568","137"
"569","164.16","bi-anually","569","108"
"570","66.00","monthly","570","0"
"571","479.60","bi-anually","571","0"
"572","1657.52","bi-anually","572","0"
"573","186.24","quarterly","573","0"
"574","431.60","annually","574","0"
"575","496.60","bi-anually","575","0"
"576","1635.60","annually","576","0"
"577","0.00","monthly","577","0"
"578","584.80","quarterly","578","0"
"579","595.92","monthly","579","0"
"580","949.44","annually","580","0"
"581","356.68","annually","581","0"
"582","298.56","monthly","582","0"
"583","10.00","annually","583","0"
"584","105.00","monthly","584","0"
"585","1564.20","annually","585","0"
"586","0.00","monthly","586","0"
"587","812.80","annually","587","0"
"588","96.80","annually","588","0"
"589","168.32","monthly","589","0"
"590","572.70","monthly","590","0"
"591","802.12","annually","591","0"
"592","187.20","annually","592","0"
"593","568.80","monthly","593","0"
"594","124.00","quarterly","594","0"
"595","1042.64","bi-anually","595","0"
"596","341.52","quarterly","596","0"
"597","749.66","quarterly","597","0"
"598","115.40","quarterly","598","0"
"599","696.28","quarterly","599","0"
"600","1002.08","quarterly","600","0"
"601","887.56","annually","601","0"
"602","14.00","bi-anually","602","0"
"603","26.24","annually","603","0"
"604","62.00","annually","604","0"
"605","187.28","quarterly","605","0"
"606","848.32","annually","606","0"
"607","454.48","annually","607","0"
"608","180.36","annually","608","0"
"609","23.68","quarterly","609","0"
"610","613.40","monthly","610","0"
"611","198.00","bi-anually","611","0"
"612","1057.00","annually","612","0"
"613","52.48","bi-anually","613","0"
"614","651.40","annually","614","0"
"615","1480.60","quarterly","615","0"
"616","378.16","bi-anually","616","0"
"617","630.36","monthly","617","0"
"618","493.76","bi-anually","618","0"
"619","341.92","annually","619","0"
"620","35.90","monthly","620","0"
"621","726.60","monthly","621","0"
"622","68.00","monthly","622","0"
"623","1210.16","annually","623","0"
"624","1173.20","quarterly","624","0"
"625","0.00","bi-anually","625","0"
"626","0.00","annually","626","0"
"627","94.00","annually","627","0"
"628","456.56","monthly","628","0"
"629","158.96","quarterly","629","0"
"630","46.00","bi-anually","630","0"
"631","1650.30","quarterly","631","0"
"632","1185.84","annually","632","0"
"633","154.24","quarterly","633","0"
"634","76.80","monthly","634","0"
"635","972.70","quarterly","635","0"
"636","133.80","quarterly","636","0"
"637","14.00","bi-anually","637","0"
"638","221.00","monthly","638","0"
"639","970.80","annually","639","0"
"640","304.24","monthly","640","0"
"641","276.56","monthly","641","0"
"642","655.32","monthly","642","0"
"643","667.20","quarterly","643","0"
"644","338.66","quarterly","644","0"
"645","395.52","monthly","645","0"
"646","651.30","monthly","646","0"
"647","579.72","annually","647","0"
"648","1057.10","monthly","648","0"
"649","910.50","monthly","649","0"
"650","416.40","monthly","650","0"
"651","17.60","quarterly","651","0"
"652","523.40","annually","652","0"
"653","1457.36","quarterly","653","0"
"654","46.00","quarterly","654","0"
"655","136.32","quarterly","655","0"
"656","1081.40","bi-anually","656","0"
"657","24.00","quarterly","657","0"
"658","121.92","bi-anually","658","0"
"659","3292.10","monthly","659","0"
"660","2254.10","annually","660","0"
"661","372.50","quarterly","661","0"
"662","547.80","monthly","662","0"
"663","1160.20","monthly","663","0"
"664","592.30","bi-anually","664","0"
"665","133.88","annually","665","0"
"666","126.96","annually","666","0"
