ID,date,time,employee_ID_fk,Location_ID_fk,account_number_fk,package_serial_fk
91,42748,0.03125,1200,TD1P79DMYPMJ,316,IK33DA
92,43436,0.4979166667,908,TO6PLPPWPRDF,636,KVVR8M
93,43436,0.7055555556,843,VJTVA1P8P5F8,636,KVVR8M
94,43436,0.9076388889,286,HMX4KPEDAE1T,636,KVVR8M
95,43437,0.02708333333,726,V4ULPM87PW2U,636,KVVR8M
96,43437,0.1861111111,516,TDCLKZJPK9PP,636,KVVR8M
97,41709,0.1465277778,1199,TO2M0JHAL3H0,588,CCMAXC
98,41709,0.3472222222,321,VP26NJ8FPGT2,588,CCMAXC
99,41709,0.6118055556,962,TDZHNTJ7EP6J,588,CCMAXC
100,41322,0.3520833333,420,TOX9K3KFGPY0,145,XFORVQ
101,41322,0.5152777778,248,V0WDK2PPSFXP,145,XFORVQ
102,41322,0.7770833333,896,HYZPZZGYCPD6,145,XFORVQ
103,41322,0.9659722222,674,VAJJJ3SLYPNX,145,XFORVQ
104,41323,0.09930555556,597,TD29R4VVU09V,145,XFORVQ
105,42835,0.7923611111,519,TOY07JLLLNDK,582,4TVXB1
106,42836,0.02291666667,665,VKE2PFDS1PN1,582,4TVXB1
107,42836,0.2263888889,249,TDVHKKMGP5KP,582,4TVXB1
108,41887,0.5388888889,661,TOPWUZ1ML1PM,254,53KQBQ
109,41887,0.7680555556,777,VJPUYHVVKKTA,254,53KQBQ
110,41887,0.9583333333,297,TDJJPR3FKGJX,254,53KQBQ
111,41337,0.01111111111,458,TOCPRPBYNK8P,638,JVAEJT
112,41337,0.1388888889,231,HPX3K2NZTWPP,638,JVAEJT
113,41337,0.2861111111,619,V66CZSPR6ZP6,638,JVAEJT
114,41337,0.4895833333,365,TDFKP6PGMAYK,638,JVAEJT
115,41321,0.7833333333,1095,TOJN6LMPPPN1,353,XRR466
116,41321,0.9291666667,1125,HCR572TA2UPA,353,XRR466
117,41322,0.05277777778,576,V1PPHZP29PNN,353,XRR466
118,41322,0.2368055556,420,TDLPHH7PZSJZ,353,XRR466
119,43106,0.8993055556,513,TOBPTL2MPUDY,553,ILGPEZ
120,43107,0.1590277778,469,V4ULPM87PW2U,553,ILGPEZ
121,43107,0.3465277778,1120,HLYP9K5PLELS,553,ILGPEZ
122,43107,0.5881944444,1161,VP73X2KCH2FM,553,ILGPEZ
123,43107,0.8319444444,392,TDSKJ7PXMKV3,553,ILGPEZ
124,41606,0.001388888889,557,TO6LGLSMPFTA,405,YIRP43
125,41606,0.2527777778,632,VHUW7PEN123U,405,YIRP43
126,41606,0.5263888889,780,TDRLPPF54GJM,405,YIRP43
127,41605,0.6034722222,337,TOPPB24PGBF5,169,NVHEA4
128,41605,0.7083333333,847,V1PPHZP29PNN,169,NVHEA4
129,41605,0.9951388889,292,TDM4ATPJPLXB,169,NVHEA4
130,41623,0.5055555556,1161,TOPP53NLYPK8,322,NNXB0I
131,41623,0.7604166667,496,HBWFUMLC78P3,322,NNXB0I
132,41624,0.02222222222,1165,VLLKNFPSPEPB,322,NNXB0I
133,41624,0.2069444444,633,TD1GP89WARPK,322,NNXB0I
134,42609,0.03263888889,926,TOACLZLSH8GP,428,9TVYD9
135,42609,0.2243055556,898,VPU4J7LPKF1D,428,9TVYD9
136,42609,0.3951388889,292,HLKKPW0MLSFP,428,9TVYD9
137,42609,0.5597222222,910,VPNFGGL31S9P,428,9TVYD9
138,42609,0.7819444444,381,TDPLXA27JWW6,428,9TVYD9
139,41716,0.8854166667,499,TOJZTWGHDJBT,511,NFVHO5
140,41717,0.02708333333,900,VE69LBZH5PAR,511,NFVHO5
141,41717,0.1638888889,992,TDWPKMATCNPN,511,NFVHO5
142,42053,0.03680555556,989,TOUDGPW65DDF,45,ACYYMV
143,42053,0.2513888889,672,VFXPJHKP79LE,45,ACYYMV
144,42053,0.3986111111,298,TDUFJPPAE2SZ,45,ACYYMV
145,42301,0.4909722222,677,TOZGMAD46P07,288,ABZKA2
146,42301,0.7451388889,1134,VMKYJ0KMPPG2,288,ABZKA2
147,42301,0.8465277778,1142,HJU8PL6FKWBP,288,ABZKA2
148,42301,0.9743055556,563,VLPP5F42PLFP,288,ABZKA2
149,42302,0.1958333333,1171,TDATHLPFPPMJ,288,ABZKA2
150,41748,0.7118055556,1057,TOGPPCWBJP6L,595,KEMQO3
151,41748,0.9923611111,901,VEKMPPMLDBB7,595,KEMQO3
152,41749,0.2027777778,203,TDLPXPZJE3BE,595,KEMQO3
153,42778,0.3222222222,377,TOCPMEPJ5PXP,651,HTIDKS
154,42778,0.4680555556,457,HFXACP95ZNAP,651,HTIDKS
155,42778,0.65625,929,VM5TWDCDJ9UY,651,HTIDKS
156,42778,0.8888888889,885,TDN351RLTSNP,651,HTIDKS
157,42749,0.8444444444,335,TOTGSNPB8PGA,228,S3GYS7
158,42750,0.01041666667,650,HJUNPYJPPTNC,228,S3GYS7
159,42750,0.2777777778,278,VXUC1U5APPKL,228,S3GYS7
160,42750,0.4118055556,1147,TD3CPYK4PDLM,228,S3GYS7
161,41645,0.3722222222,876,TOPPL5MZ2X96,591,V7H44G
162,41645,0.5930555556,1140,HPP5PPDXVF1N,591,V7H44G
163,41645,0.7208333333,410,VZUDHE8P8363,591,V7H44G
164,41645,0.9041666667,795,TDFZ7P8KPPVZ,591,V7H44G
165,41872,0.5298611111,956,TOTPFHP1PMPJ,622,A5NTCT
166,41872,0.7236111111,1101,VP3VH8TPRT5L,622,A5NTCT
167,41872,0.8965277778,663,TDP90GPPDPRN,622,A5NTCT
168,42319,0.5534722222,553,TOSX17PRDPZU,658,KG5MCY
169,42319,0.80625,1052,VM0NMXZ5F1LW,658,KG5MCY
170,42319,0.9277777778,732,HLYP9K5PLELS,658,KG5MCY
171,42320,0.1208333333,820,VWWPCKSPXDSJ,658,KG5MCY
172,42320,0.2159722222,336,TD5790PRSPHT,658,KG5MCY
173,42405,0.04375,1182,TOXPKJPH9PPP,398,AX8UDT
174,42405,0.2604166667,1157,V12VVT1ZJKEZ,398,AX8UDT
175,42405,0.4006944444,320,HU5P2E9JHNST,398,AX8UDT
176,42405,0.5180555556,505,VB0PZPP2JP1L,398,AX8UDT
177,42405,0.6993055556,765,TDKP0SGF3BAJ,398,AX8UDT
178,43325,0.5104166667,1164,TORSPSJKHJM1,36,PTPG7M
179,43325,0.7736111111,735,VRM7KFP00PC5,36,PTPG7M
180,43326,0.025,741,HPXCP3SUFDJ3,36,PTPG7M
181,43326,0.1493055556,502,V1PDPCM9K9VH,36,PTPG7M
182,43326,0.3159722222,962,TDDB2UPSPBLG,36,PTPG7M
183,41671,0.6409722222,1046,TOLEFLCMA6LW,467,ALHE1R
184,41671,0.9138888889,434,HZBB19PWSHUL,467,ALHE1R
185,41672,0.05277777778,759,V7BCRLD9WBPK,467,ALHE1R
186,41672,0.2208333333,474,TDM4ATPJPLXB,467,ALHE1R
187,41880,0.8236111111,544,TOV1Z2D0PX4P,261,PGL8CS
188,41881,0.05486111111,1057,V1PPHZP29PNN,261,PGL8CS
189,41881,0.275,362,TDNSJZNVWENL,261,PGL8CS
190,41673,0.8652777778,566,TOU0A3DPPP7D,17,M7SSYG
191,41674,0.06736111111,964,VK9P6AHBPP6U,17,M7SSYG
192,41674,0.1847222222,232,TDJNEPFEPPZ9,17,M7SSYG
193,42724,0.2013888889,330,TOWYL4DZB9MP,328,CPD1MG
194,42724,0.4034722222,398,HGC1PRRB0MST,328,CPD1MG
195,42724,0.5215277778,407,VPNMWPPMPCV9,328,CPD1MG
196,42724,0.7833333333,511,TDWN7EUNKBRM,328,CPD1MG
197,41343,0.2083333333,430,TOYJM8RAFKEJ,406,FGXWN9
198,41343,0.4916666667,267,VPSPUPG4NLND,406,FGXWN9
199,41343,0.7236111111,230,TDNPRPP7JDKB,406,FGXWN9
200,42646,0.8284722222,298,TOCRPNP4CRLY,649,DXFU82
201,42647,0.02013888889,636,VJAHPJE4PEUP,649,DXFU82
202,42647,0.2402777778,676,HAZ2JGCE1FJM,649,DXFU82
203,42647,0.49375,1153,VHRTPY9GSAPY,649,DXFU82
204,42647,0.7340277778,576,TDPAMEN03JKK,649,DXFU82
205,41855,0.2527777778,1080,TOGUS6HHPM77,386,50QY5Z
206,41855,0.48125,701,H33SPT4VP0JK,386,50QY5Z
207,41855,0.6902777778,653,VC357E85PKRT,386,50QY5Z
208,41855,0.9034722222,1181,TDRLBP37T69N,386,50QY5Z
209,43358,0.9152777778,1086,TOPH8R6SAPMY,71,OXL26A
210,43359,0.06666666667,1187,VFPDJVXPY6W7,71,OXL26A
211,43359,0.2388888889,401,HFWF2NPWE5V9,71,OXL26A
212,43359,0.3972222222,818,VTPVFA1PNESR,71,OXL26A
213,43359,0.6333333333,408,TDYCFMKPPP9S,71,OXL26A
214,41475,0.6166666667,1196,TOGYBGEJPAXU,447,UB0UV2
215,41475,0.7895833333,1017,HEP0P7P79JNU,447,UB0UV2
216,41475,0.9479166667,944,V9PX2P91J5PF,447,UB0UV2
217,41476,0.06458333333,540,TDD7PPW6PPFP,447,UB0UV2
218,43407,0.4986111111,960,TOF4ZG5PKLYN,520,NFLCHB
219,43407,0.6673611111,344,V1Z1W2VKPB56,520,NFLCHB
220,43407,0.8222222222,598,H7AJ8VCKPRPP,520,NFLCHB
221,43408,0.01875,1022,VPP9PWJRMZMP,520,NFLCHB
222,43408,0.1993055556,241,TD5790PRSPHT,520,NFLCHB
223,42019,0.1215277778,402,TOPYDALPBL3X,169,6G6BDC
224,42019,0.2805555556,474,VGNPXXF58V6P,169,6G6BDC
225,42019,0.4986111111,644,TDT5JPNANSP7,169,6G6BDC
226,41812,0.3631944444,618,TOX9K3KFGPY0,384,AGR3UC
227,41812,0.4875,677,VBHPKMMKU95P,384,AGR3UC
228,41812,0.7416666667,881,TDZJJSEPFP9Y,384,AGR3UC
229,41330,0.02847222222,336,TOUPMPJ5PPTF,185,J7BIF0
230,41330,0.1486111111,1057,HFXACP95ZNAP,185,J7BIF0
231,41330,0.3972222222,325,VPZZM5PPPP30,185,J7BIF0
232,41330,0.5652777778,260,TDPNP2VWHH1S,185,J7BIF0
233,42871,0.7833333333,1131,TOEMBPSPMD8Y,295,80WRXS
234,42871,0.9701388889,748,VHPCMDE2PKBP,295,80WRXS
235,42872,0.09513888889,842,H5DYNHPX2PN6,295,80WRXS
236,42872,0.3527777778,1156,V5N3WP048PG7,295,80WRXS
237,42872,0.5041666667,529,TDAPCPPKBPE0,295,80WRXS
238,43369,0.3715277778,433,TODEVNRJ6JK4,70,MVH9U9
239,43369,0.5993055556,274,VZ2PNYFWWLN0,70,MVH9U9
240,43369,0.8583333333,509,HPBPBP2F100H,70,MVH9U9
241,43370,0.04652777778,464,VEKPSRMP20PM,70,MVH9U9
242,43370,0.2340277778,707,TDHPN0PE26PG,70,MVH9U9
243,43261,0.6958333333,1162,TO2KPPM8PRKY,278,YDSBB6
244,43261,0.9048611111,736,HPBFRPPP0APK,278,YDSBB6
245,43262,0.03055555556,508,VPPLRLPP6PKE,278,YDSBB6
246,43262,0.2027777778,507,TDCHWB3TPTVP,278,YDSBB6
247,43214,0.3118055556,600,TOPNPNPJ6PH7,345,UJGBUI
248,43214,0.4958333333,625,VPP486P6TJ8B,345,UJGBUI
249,43214,0.6673611111,904,TDWGH4NXPURB,345,UJGBUI
250,41788,0.7243055556,1064,TO3DHLLZLFKU,205,KIAOUG
251,41788,0.90625,766,HLPPH8D7K0DH,205,KIAOUG
252,41789,0.1611111111,513,VPBT1MW8WJ2P,205,KIAOUG
253,41789,0.2881944444,635,TDWPPCCEPSXP,205,KIAOUG
254,43191,0.1409722222,942,TOPGUAWP7P7R,604,JKPC4B
255,43191,0.3083333333,567,V3FNZZ91MPPP,604,JKPC4B
256,43191,0.43125,333,HE1TAL18RPVL,604,JKPC4B
257,43191,0.5701388889,606,VAZLD9P0BPBM,604,JKPC4B
258,43191,0.7888888889,553,TD9L03RRLPEX,604,JKPC4B
259,42464,0.5263888889,484,TOP4P00PNZH2,423,7NB34Y
260,42464,0.7131944444,1030,H2ZD94P3DSW7,423,7NB34Y
261,42464,0.9375,322,VP43VPKWBVUF,423,7NB34Y
262,42465,0.1326388889,467,TD5VHM1CEPTP,423,7NB34Y
263,42106,0.1076388889,274,TO9MPRPBKPSP,512,3705DT
264,42106,0.3361111111,1062,HG3YJBFC8RNB,512,3705DT
265,42106,0.5881944444,1162,VHALPTVPP4KJ,512,3705DT
266,42106,0.7409722222,554,TDPEZMK3FHWX,512,3705DT
267,43256,0.2208333333,963,TOEP64CKHA7M,633,U0V0YF
268,43256,0.4298611111,340,VCJBEPPPPCUP,633,U0V0YF
269,43256,0.6076388889,700,H1HJP2EZPP89,633,U0V0YF
270,43256,0.8055555556,488,V1PDPCM9K9VH,633,U0V0YF
271,43256,0.9881944444,424,TDUT9K3FDHJ2,633,U0V0YF
272,41619,0.5520833333,738,TO8TM4PN89RP,631,QAFZVJ
273,41619,0.66875,598,V9HPRGWPHPCS,631,QAFZVJ
274,41619,0.9347222222,611,HUNPDRN6JJJG,631,QAFZVJ
275,41620,0.1083333333,283,VXPPXJNP2KKH,631,QAFZVJ
276,41620,0.25,875,TDJNVTZNP28C,631,QAFZVJ
277,41889,0.7034722222,500,TO4V6LPJPHXZ,223,O2Z4FQ
278,41889,0.8104166667,999,VB5TYX5NPPHM,223,O2Z4FQ
279,41890,0.05486111111,985,HK0YPPCD9PPC,223,O2Z4FQ
280,41890,0.3083333333,647,V1LPP0WK2ZBN,223,O2Z4FQ
281,41890,0.4361111111,826,TDP0HLY2PPVN,223,O2Z4FQ
282,41549,0.1041666667,701,TO5DJPMMPAL2,636,OMTBLM
283,41549,0.3006944444,1113,HAPG4ND7BNPS,636,OMTBLM
284,41549,0.4263888889,625,VLPZLPRGK3MN,636,OMTBLM
285,41549,0.69375,498,TDNDNCAAZAG0,636,OMTBLM
286,41486,0.9166666667,642,TOLMF9MPRXEU,262,2EUYA1
287,41487,0.06875,1146,VP3DYDVPXB24,262,2EUYA1
288,41487,0.2194444444,427,TDXYM5Z9S2PW,262,2EUYA1
289,41563,0.07152777778,1195,TO6LPJPTMJHJ,57,B5PPTQ
290,41563,0.2458333333,561,VBPPDBB3J4LY,57,B5PPTQ
291,41563,0.4194444444,246,HBPRMK7P653G,57,B5PPTQ
292,41563,0.6034722222,793,VMPEBM0UKM19,57,B5PPTQ
293,41563,0.7111111111,1023,TDPGP00343MC,57,B5PPTQ
294,42395,0.3659722222,1168,TOWRVTWP1HPP,314,VVXRK7
295,42395,0.48125,941,HTP9AJP083CP,314,VVXRK7
296,42395,0.7326388889,952,VMHP4FZHZN42,314,VVXRK7
297,42395,0.9569444444,916,TDEPZGP3XKPP,314,VVXRK7
298,41949,0.2138888889,712,TOPWWP8V3EXP,231,O36DO7
299,41949,0.4638888889,760,VBMUACAULP7A,231,O36DO7
300,41949,0.6076388889,604,HMP5PAXGP0M9,231,O36DO7
301,41949,0.7451388889,971,VXXPP6JS3MJW,231,O36DO7
302,41949,0.8569444444,1196,TDT5JPNANSP7,231,O36DO7
303,41750,0.7388888889,811,TO9FNVYP8X1E,638,ISZJP2
304,41750,0.9222222222,423,HF02PLPMJTPP,638,ISZJP2
305,41751,0.09444444444,575,VHX5AGBPMJ2N,638,ISZJP2
306,41751,0.2659722222,855,TDFN7PDWAP67,638,ISZJP2
307,42696,0.8229166667,711,TOPPFPLMZC0K,337,7CVMH7
308,42696,0.9270833333,984,HLJC7PTPPDF0,337,7CVMH7
309,42697,0.1763888889,593,V2EXJ3P92PNS,337,7CVMH7
310,42697,0.3673611111,565,TDJNEPFEPPZ9,337,7CVMH7
311,42596,0.3694444444,805,TOPCZWMZPEP2,175,8BNDO3
312,42596,0.4743055556,890,V3RCZKPMS3PK,175,8BNDO3
313,42596,0.69375,794,TDEP12GBAPV5,175,8BNDO3
314,41716,0.9131944444,1107,TOPPG0PH65P8,604,Z2O1N1
315,41717,0.01805555556,1063,VCVP7JPSBGVN,604,Z2O1N1
316,41717,0.1395833333,244,HC36EN9JEDMM,604,Z2O1N1
317,41717,0.3583333333,222,V0TSPKZH46HB,604,Z2O1N1
318,41717,0.5958333333,948,TDBMMDNUP0PU,604,Z2O1N1
319,42185,0.3527777778,648,TOSPPNRPNPKK,279,QWT9OT
320,42185,0.4729166667,771,V9KPMPKTVDJ7,279,QWT9OT
321,42185,0.66875,857,HEJBERPNEJYP,279,QWT9OT
322,42185,0.8111111111,244,V5G2PW4PBPP8,279,QWT9OT
323,42186,0.009722222222,576,TD81PPLKRND2,279,QWT9OT
324,41713,0.7090277778,247,TORSPSJKHJM1,247,WF3H8W
325,41713,0.9923611111,634,VBDEMEUPUYMM,247,WF3H8W
326,41714,0.2479166667,903,TDLWFYPT7FPR,247,WF3H8W
327,42512,0.08541666667,850,TOPNW4BYRZPP,620,WJ4VXH
328,42512,0.2270833333,300,VA5LDZBCTPEA,620,WJ4VXH
329,42512,0.3451388889,1173,TDKHXPYDSVWP,620,WJ4VXH
330,41981,0.7680555556,712,TO9PJ3942PPC,192,IUJ8WG
331,41981,0.9854166667,281,VFBDESN4SP0E,192,IUJ8WG
332,41982,0.1118055556,593,TD6UYWE4M0M3,192,IUJ8WG
333,41650,0.2729166667,786,TOK2NPMLPBPG,511,WPW1RC
334,41650,0.4277777778,361,V4ZGPWMJ45U6,511,WPW1RC
335,41650,0.6611111111,429,TDMPLV1JC10U,511,WPW1RC
336,43456,0.5944444444,1047,TOR1JLUVP1EJ,572,GEKOZP
337,43456,0.7590277778,1015,HE41KPMH9BXB,572,GEKOZP
338,43457,0.008333333333,372,VHSCFNGN2BCK,572,GEKOZP
339,43457,0.2590277778,355,TDA98FFV72VP,572,GEKOZP
340,42045,0.6541666667,1079,TOT08JK6LC6L,360,ZLW7K0
341,42045,0.7854166667,1118,HHNPJUJ9PZPP,360,ZLW7K0
342,42045,0.9923611111,1121,VM5TWDCDJ9UY,360,ZLW7K0
343,42046,0.1256944444,1024,TD1KA8FR0JDL,360,ZLW7K0
344,42672,0.7520833333,725,TOVHB6HHVKJM,522,RU1ELL
345,42672,0.9868055556,852,VAMPHDVPP0PP,522,RU1ELL
346,42673,0.1909722222,1061,HPPBPMWFSMF4,522,RU1ELL
347,42673,0.3020833333,566,VLAEG3P87JJ1,522,RU1ELL
348,42673,0.4756944444,907,TDC9S3PP2PPP,522,RU1ELL
349,41632,0.2777777778,280,TONNR1DM4PLP,584,AQJYZA
350,41632,0.4958333333,454,HTFUH2XN362M,584,AQJYZA
351,41632,0.6013888889,320,VMPPKNPE28BB,584,AQJYZA
352,41632,0.7743055556,425,TDX65CZJPP5P,584,AQJYZA
353,41405,0.2006944444,578,TOTJTP7HMKKX,444,3SP20O
354,41405,0.3430555556,394,VFUSKPPCP0PK,444,3SP20O
355,41405,0.4604166667,273,TDMPPY3V6J1D,444,3SP20O
356,42887,0.1430555556,709,TOPNKDYJEPPP,284,INCDXG
357,42887,0.2847222222,1193,HXPTMNXT9BGZ,284,INCDXG
358,42887,0.4326388889,414,V1PPHZP29PNN,284,INCDXG
359,42887,0.6902777778,483,TD46EPGPVP1P,284,INCDXG
360,42902,0.7645833333,502,TOMWC5APYE5P,54,52WN64
361,42902,0.9895833333,1121,VGRKJW6PYXJ2,54,52WN64
362,42903,0.2090277778,248,TDVHKKMGP5KP,54,52WN64
363,43313,0.3513888889,235,TO0UYRPJ1ZLS,180,NQF5CS
364,43313,0.5729166667,1068,HGA9PYNNTHG5,180,NQF5CS
365,43313,0.8090277778,655,VFM4LUENPBC1,180,NQF5CS
366,43313,0.9375,1010,TDP9PYZFM33R,180,NQF5CS
367,42092,0.6180555556,580,TODEVNRJ6JK4,351,NQFWO0
368,42092,0.8548611111,295,VP1HZNN9P6RG,351,NQFWO0
369,42093,0.01041666667,415,HP78PAPWRNUJ,351,NQFWO0
370,42093,0.1840277778,1046,VCP0RN32EDEP,351,NQFWO0
371,42093,0.3611111111,1045,TD6KG81VY3PV,351,NQFWO0
372,42662,0.1479166667,724,TOPCZWMZPEP2,380,MZALFI
373,42662,0.3159722222,472,VB1SLLPJKWAP,380,MZALFI
374,42662,0.5652777778,850,HPGWK4FTZMWX,380,MZALFI
375,42662,0.7048611111,785,V334KNK3P63U,380,MZALFI
376,42662,0.925,738,TDM4ATPJPLXB,380,MZALFI
377,41521,0.2340277778,406,TOBYCLHTDKEP,635,976QCL
378,41521,0.4472222222,1039,V03LT1SW3PBP,635,976QCL
379,41521,0.7027777778,906,H8F9Z7JP7YPP,635,976QCL
380,41521,0.9513888889,982,V5V9UPB0PUNH,635,976QCL
381,41522,0.1423611111,1147,TDPV3JSWJWUV,635,976QCL
382,41822,0.04513888889,271,TOPPWB3JYCBP,640,UPXV8F
383,41822,0.2465277778,789,HT0PPDPTPBVP,640,UPXV8F
384,41822,0.475,1065,VCRPPPJAWPUJ,640,UPXV8F
385,41822,0.5861111111,889,TDSKJ7PXMKV3,640,UPXV8F
386,43140,0.09722222222,690,TOPNPNPJ6PH7,162,WM8XSP
387,43140,0.3159722222,1170,VZV1APPCJPCX,162,WM8XSP
388,43140,0.4659722222,820,HGGN2PJSHWP9,162,WM8XSP
389,43140,0.5888888889,1169,V7GJFKVPYP5R,162,WM8XSP
390,43140,0.7430555556,471,TDPLDPXMNBP7,162,WM8XSP
